Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),AirTemperature(C),filename
2011,4,13,0,,KAN_B_hour_v03.csv
2011,4,13,1,,KAN_B_hour_v03.csv
2011,4,13,2,,KAN_B_hour_v03.csv
2011,4,13,3,,KAN_B_hour_v03.csv
2011,4,13,4,,KAN_B_hour_v03.csv
2011,4,13,5,,KAN_B_hour_v03.csv
2011,4,13,6,,KAN_B_hour_v03.csv
2011,4,13,7,,KAN_B_hour_v03.csv
2011,4,13,8,,KAN_B_hour_v03.csv
2011,4,13,9,,KAN_B_hour_v03.csv
2011,4,13,10,,KAN_B_hour_v03.csv
2011,4,13,11,,KAN_B_hour_v03.csv
2011,4,13,12,,KAN_B_hour_v03.csv
2011,4,13,13,,KAN_B_hour_v03.csv
2011,4,13,14,,KAN_B_hour_v03.csv
2011,4,13,15,,KAN_B_hour_v03.csv
2011,4,13,16,,KAN_B_hour_v03.csv
2011,4,13,17,,KAN_B_hour_v03.csv
2011,4,13,18,-9.71,KAN_B_hour_v03.csv
2011,4,13,19,-10.78,KAN_B_hour_v03.csv
2011,4,13,20,-11.48,KAN_B_hour_v03.csv
2011,4,13,21,-12.51,KAN_B_hour_v03.csv
2011,4,13,22,-12.81,KAN_B_hour_v03.csv
2011,4,13,23,-13.3,KAN_B_hour_v03.csv
2011,4,14,0,-14.24,KAN_B_hour_v03.csv
2011,4,14,1,-15.36,KAN_B_hour_v03.csv
2011,4,14,2,-15.48,KAN_B_hour_v03.csv
2011,4,14,3,-15.44,KAN_B_hour_v03.csv
2011,4,14,4,-15.78,KAN_B_hour_v03.csv
2011,4,14,5,-16.42,KAN_B_hour_v03.csv
2011,4,14,6,-16.94,KAN_B_hour_v03.csv
2011,4,14,7,-17.62,KAN_B_hour_v03.csv
2011,4,14,8,-17.87,KAN_B_hour_v03.csv
2011,4,14,9,-17.63,KAN_B_hour_v03.csv
2011,4,14,10,-17.23,KAN_B_hour_v03.csv
2011,4,14,11,-16.89,KAN_B_hour_v03.csv
2011,4,14,12,-16.5,KAN_B_hour_v03.csv
2011,4,14,13,-16.15,KAN_B_hour_v03.csv
2011,4,14,14,-15.62,KAN_B_hour_v03.csv
2011,4,14,15,-15.62,KAN_B_hour_v03.csv
2011,4,14,16,-15.48,KAN_B_hour_v03.csv
2011,4,14,17,-15.13,KAN_B_hour_v03.csv
2011,4,14,18,-15.24,KAN_B_hour_v03.csv
2011,4,14,19,-15.31,KAN_B_hour_v03.csv
2011,4,14,20,-15.72,KAN_B_hour_v03.csv
2011,4,14,21,-16.87,KAN_B_hour_v03.csv
2011,4,14,22,-18.07,KAN_B_hour_v03.csv
2011,4,14,23,-19.28,KAN_B_hour_v03.csv
2011,4,15,0,-19.31,KAN_B_hour_v03.csv
2011,4,15,1,-18.42,KAN_B_hour_v03.csv
2011,4,15,2,-18.93,KAN_B_hour_v03.csv
2011,4,15,3,-19.51,KAN_B_hour_v03.csv
2011,4,15,4,-19.93,KAN_B_hour_v03.csv
2011,4,15,5,-20.24,KAN_B_hour_v03.csv
2011,4,15,6,-20.62,KAN_B_hour_v03.csv
2011,4,15,7,-20.97,KAN_B_hour_v03.csv
2011,4,15,8,-20.82,KAN_B_hour_v03.csv
2011,4,15,9,-20.39,KAN_B_hour_v03.csv
2011,4,15,10,-19.83,KAN_B_hour_v03.csv
2011,4,15,11,-19.22,KAN_B_hour_v03.csv
2011,4,15,12,-18.83,KAN_B_hour_v03.csv
2011,4,15,13,-18.16,KAN_B_hour_v03.csv
2011,4,15,14,-17.42,KAN_B_hour_v03.csv
2011,4,15,15,-17.07,KAN_B_hour_v03.csv
2011,4,15,16,-16.8,KAN_B_hour_v03.csv
2011,4,15,17,-16.52,KAN_B_hour_v03.csv
2011,4,15,18,-16.37,KAN_B_hour_v03.csv
2011,4,15,19,-16.44,KAN_B_hour_v03.csv
2011,4,15,20,-16.7,KAN_B_hour_v03.csv
2011,4,15,21,-17.12,KAN_B_hour_v03.csv
2011,4,15,22,-19.43,KAN_B_hour_v03.csv
2011,4,15,23,-19.31,KAN_B_hour_v03.csv
2011,4,16,0,-20.08,KAN_B_hour_v03.csv
2011,4,16,1,-20.17,KAN_B_hour_v03.csv
2011,4,16,2,-19.32,KAN_B_hour_v03.csv
2011,4,16,3,-19.78,KAN_B_hour_v03.csv
2011,4,16,4,-20.51,KAN_B_hour_v03.csv
2011,4,16,5,-20.89,KAN_B_hour_v03.csv
2011,4,16,6,-20.85,KAN_B_hour_v03.csv
2011,4,16,7,-21.08,KAN_B_hour_v03.csv
2011,4,16,8,-21.22,KAN_B_hour_v03.csv
2011,4,16,9,-20.88,KAN_B_hour_v03.csv
2011,4,16,10,-20.4,KAN_B_hour_v03.csv
2011,4,16,11,-19.8,KAN_B_hour_v03.csv
2011,4,16,12,-19.28,KAN_B_hour_v03.csv
2011,4,16,13,-18.57,KAN_B_hour_v03.csv
2011,4,16,14,-17.96,KAN_B_hour_v03.csv
2011,4,16,15,-17.13,KAN_B_hour_v03.csv
2011,4,16,16,-16.58,KAN_B_hour_v03.csv
2011,4,16,17,-16.17,KAN_B_hour_v03.csv
2011,4,16,18,-16.41,KAN_B_hour_v03.csv
